Month,Cost,Expense description,Classification
January,$37.00,Hosting services,Programs Costs
Feburary,$28.04,Hosting services,Programs Costs
March,$28.04,Hosting services,Programs Costs
April,$28.04,Hosting services,Programs Costs
May,$28.04,Hosting services,Programs Costs
June,$28.04,Hosting services,Programs Costs
July,$28.04,Hosting services,Programs Costs
August,$28.04,Hosting services,Programs Costs
September,$28.04,Hosting services,Programs Costs
November,$28.04,Hosting services,Programs Costs